medicine_name,price,quantity,availability
Glenpar Spas Tablet,75,23,limited
Rocef 50mg Dry Syrup,251,226,available
Floximox 0.5% Eye Drop,472,65,available
Xval 500mg Tablet ER,441,264,available
PRILACE 5 MG TABLET,311,49,available
Stanlac 500mg Capsule,91,217,available
Ofinak 200 Tablet,398,247,available
Lopine-K Eye Drop,91,229,available
Nor 400mg Tablet,438,1,limited
Wax CL Ear Drop,73,32,available
Nishclav 625 LB Tablet,148,143,available
Indec 25mg Injection,158,255,available
Vominta Syrup Delicious Orange,172,114,available
Nitroprin 30 mg/75 mg Tablet,108,150,available
Losawell C 50mg/12.5mg Tablet,186,17,limited
Siltus LS Syrup,179,143,available
Trampic 100mg Injection,265,39,available
Dolonim P 100mg/500mg Tablet,176,233,available
Esitor 5mg Tablet,68,127,available
Axocare 1000mg Injection,186,0,out_of_stock
Suforox 250mg Tablet,458,148,available
Renicol Eye Ointment,295,249,available
Ertiga 1000mg Injection,428,104,available
Nirone 25mg Injection,303,61,available
Metacin 170mg Suppository,452,79,available
Elrora M 2500mcg Injection,332,233,available
Gcet Cold Tablet,40,161,available
Nimashu P 100mg/325mg Tablet,274,92,available
Ertycin L 250mg/250mg Tablet,131,271,available
Mofla O 200mg/500 mg Tablet,22,239,available
Fexoscot 180mg Tablet,438,27,limited
Cerecetam 1200mg Tablet,14,78,available
Adriamycin 10mg Injection,231,260,available
Rutozox 90mg/48mg/100mg Tablet,175,137,available
NOVIGAN M 100 MG/5 MG TABLET,390,146,available
Recpar 100mg/325mg Tablet,436,117,available
Lopex 2mg Capsule,25,31,available
Nervedol NT 75mg/10mg/1500mcg Tablet,488,24,limited
Zex 120mg Tablet,235,63,available
Levogo 500mg Tablet,496,228,available
Nitrofix 40mg Tablet,70,95,available
Istamet XR Tablet,182,218,available
Sovalmat 133.5mg/58mg Tablet CR,375,188,available
Capritaz 2000mg/250mg Injection,442,88,available
Dvs OD 500 Tablet ER,473,40,available
Kemcid Oral Suspension,462,138,available
Tabomet 1000mg Tablet SR,110,130,available
DavaIndia Clobazam 5mg Tablet,87,182,available
M-Fast DSR Capsule,29,171,available
Ctjoy T 40mg/12.5mg Tablet,161,111,available
Pinrest 40mg Tablet,297,288,available
Bexamika 500 Injection,251,102,available
A 1 5mg Tablet,42,292,available
Clopiclot 75mg Tablet,17,108,available
Glisen MF 1 Tablet PR,392,287,available
Adzflox Oral Suspension,406,188,available
CARDULES RETARD 10MG CAPSULE,163,285,available
Qizace 200mg Tablet,188,291,available
ZANLOP 10MG CAPSULE,280,32,available
Bicef 500 DT Tablet,158,195,available
Fosup Injection,53,217,available
Glimda-MV 1 Tablet SR,369,121,available
Igodol P 100mg/325mg Tablet,406,158,available
Rozastin CA 75mg/10mg/75mg Capsule,369,257,available
Lemav-M  Tablet,354,3,limited
Rovo M Oral Suspension,356,209,available
Temptal PD Syrup,18,50,available
Locoflam SP Tablet,289,0,out_of_stock
Fluvia 75mg Capsule,399,84,available
Nazorick Tablet,254,117,available
Omivib-DSR Capsule,432,121,available
Varomep Capsule,233,99,available
Nasovol X 0.05% Nasal Drops,349,279,available
Europan D 10mg/40mg Tablet,345,80,available
Moxking XL 250mg/250mg Capsule,344,186,available
Sapod 200mg Tablet,431,225,available
Gendon 2mg Injection,313,73,available
Bakwel-AP Tablet,301,239,available
Psypro 25mg Tablet CR,228,219,available
Covax 200mg Tablet,457,282,available
Besicor-C 5 Tablet,318,65,available
Bactclav LB 500mg/125mg Tablet,116,72,available
Panloc DSR Capsule,270,247,available
Gufivan 500mg Injection,389,154,available
Glocip-TZ Tablet,467,36,available
Caretin NT 100mg/10mg Tablet,212,177,available
Quftos L Syrup,414,172,available
Cranim P 100mg/500mg Tablet,373,37,available
Arinox 100mg Tablet MD,438,240,available
Damita M 5/500 Tablet ER,157,259,available
Oxoti 150mg Tablet SR,70,111,available
Aripride 16mg Tablet,125,10,limited
Nitocin Injection,56,95,available
Eszin M 5mg/10mg Tablet,202,132,available
Glimecon MV Tablet SR,11,256,available
Rofix 200mg Tablet,416,23,limited
Falserch 60mg Injection,179,82,available
Lupipan 40mg Tablet,496,233,available
Clopidac 75 Tablet,103,99,available
Amiton 500mg Injection,286,12,limited
Azromi 250mg Tablet,262,201,available
Comantrel-T Tablet,316,38,available
Biodib 30 Tablet,156,41,available
Practin Syrup,14,295,available
Econocycline 250mg Capsule,483,126,available
Lupact Depot 11.25mg Injection,147,77,available
Paroxer 12.5mg Tablet CR,219,40,available
Liglipol Tablet,480,102,available
Triocyl Plus Eye Drop,253,292,available
Olmeran 40mg Tablet,50,140,available
Rizamelt 10 Disintegrating Strip,119,129,available
Swakam Cold Oral Drops,305,121,available
Sozox 0.25mg Tablet,352,12,limited
Dexphen-P Syrup,384,275,available
Albaxy Suspension,388,225,available
Wemo Plus 75mg/5mg/10mg Tablet,207,26,limited
Cognistar 30 Injection,161,63,available
Losum M Kid 2.5mg/4mg Tablet,440,168,available
Adifine P Oral Suspension,114,87,available
Trusten 1000mg Injection,249,244,available
Mirtex 30mg Tablet,456,277,available
Tacrolius 1 Capsule,185,4,limited
Renophyllline Injection,323,163,available
Doxocare-M Tablet,218,283,available
Zoneros 500mg Injection,280,268,available
DavaIndia Lisinopril 2.5mg Tablet,67,106,available
Pantonext D 30mg/40mg Capsule SR,190,207,available
Epodox 200mg Tablet,273,16,limited
Krimfre Tablet,155,87,available
Spazime-AZ Suspension,425,240,available
Acefile TH Forte Tablet,235,9,limited
Tenctin Met 500mg/20mg Tablet,390,15,limited
Spinmox 500mg Capsule,130,74,available
Dalacin C 300mg Capsule,264,14,limited
Idicin P 25 mg/500 mg Tablet,272,38,available
Fulo 100mg Capsule,220,223,available
Tapnac-SP Tablet,114,130,available
Acifon-SP Tablet,175,181,available
Nipanam 125mg Injection,307,26,limited
Dolopir MD Tablet,265,0,out_of_stock
Etisum 0.25mg Tablet,407,191,available
Pantoline 40mg Tablet,119,93,available
Powercort-S 6% Ointment,28,276,available
Asponac Sp 100mg/325mg/15mg Tablet,163,98,available
Coxilor P 8mg/325mg Tablet,367,241,available
Angloflu 150mg Tablet,423,164,available
Vometon 2mg Injection,116,32,available
Sufet P Suspension,389,238,available
StayHappi Phenylephrine+Beclometasone+Lidocaine Cream,243,271,available
HV Cof Syrup,479,131,available
Dumax 20mg Tablet,107,50,available
Abnate 60mg Injection,106,170,available
Fitnazole 150mg Tablet,410,1,limited
Retrolife Tablet,57,55,available
Epirate Chrono 200mg Tablet,38,243,available
Nobact 200mg Tablet,105,215,available
Klovir 800mg Tablet,161,261,available
Cefxtra O 50mg Tablet DT,293,20,limited
Colfrin Syrup,64,19,limited
Pegten-NT Tablet,485,189,available
Imiquad Cream (0.25gm Each),263,59,available
Nanbolin 50mg Injection,289,206,available
Asthavil Tablet,175,158,available
Nugesia AC Suspension,88,300,available
Avertru 1% Dusting Powder,206,172,available
Cipdose 500 Tablet,158,293,available
Merop 250mg Injection,214,126,available
Trmide 20 Tablet,192,26,limited
Gatsun Eye Ointment,481,113,available
P Praz D 30mg/40mg Capsule,202,195,available
Broxtar-BR Syrup,339,185,available
Finus-CA 200mg/125mg Tablet,477,201,available
Levop-A 5mg/60mg Tablet,494,208,available
Depinac P 50mg/325mg Tablet,476,83,available
Qtor 10mg Tablet,157,146,available
Coxient 90mg Tablet,261,229,available
Nutop 25mg Tablet,114,170,available
Azitim 250mg Tablet,485,257,available
Depran  5 Tablet,402,26,limited
Lornac 8mg Tablet,95,240,available
Voglix M 500mg/0.2mg Tablet SR,411,57,available
Ericep 100mg Oral Suspension,27,185,available
Oflomyn-OZ Tablet,116,6,limited
Alproxen 200mg Tablet,379,148,available
Ezee Plus 10mg/10mg/2.5mg Tablet,326,151,available
Serez 10mg Tablet,444,19,limited
Medoxi B6 Tablet,339,113,available
Meroward 500mg Injection,427,180,available
Ketlur Eye Drop,330,200,available
Bectiflox OZ Oral Suspension,417,21,limited
Omistil 20mg Capsule,416,225,available
Douxpan 40 Tablet,294,152,available
Apocef 200 LB Tablet,388,165,available
Biomab Egfr Injection 10ml,302,30,available
Benfit M 500mg/600mg Tablet SR,407,89,available
Disocain Syrup,366,85,available
Epiba 5mg Tablet,113,92,available
Eurotam D 0.50mg Tablet,337,103,available
Acycop 200mg Tablet,23,190,available
Oxoism Syrup,470,125,available
PG Wet Eye Drop,189,271,available
Sb Sera D 50mg/10mg Tablet,349,208,available
Etovas 10 Tablet,102,178,available
Uber 500mg Tablet,144,3,limited
Faciloc 60 Injection,388,92,available
Urate 25mg Tablet,277,277,available
Meridol Tablet,383,290,available
Acroli Ointment,369,9,limited
Lesys-M Tablet,175,142,available
Doxyrap 100mg Capsule,41,296,available
Mapradox 125mg Tablet,161,217,available
Gedopan 40 Tablet,112,282,available
Jonac 50mg Tablet,450,64,available
Nyavas 20mg Tablet,189,199,available
Bestcort 6mg Oral Suspension,336,266,available
Multizox Tablet,16,71,available
Lflox 500mg Infusion,436,195,available
Aarcim 50mg Dry Syrup,248,44,available
Bluzole Dusting Powder,180,279,available
Xonix-O Tablet,470,66,available
Ecsopan D 10 mg/20 mg Tablet,11,65,available
Diclo K 50mg Tablet,230,129,available
Emlox 250mg Capsule,204,173,available
Monotax O 50mg Syrup,464,124,available
Cefel 250mg Tablet DT,324,83,available
Quticalm 200mg Tablet SR,447,42,available
Cefxi O Tablet DT,457,291,available
Flurab D 30mg/20mg Capsule,129,185,available
Mecom 500mcg Injection,291,208,available
Kefclav 50 Oral Suspension,174,52,available
Tramzom P 37.5mg/325mg Tablet,463,193,available
Salisia KT Soap,327,61,available
Bio Woben Tablet,376,254,available
Ondiman 2mg Injection,275,195,available
Sustameto 25 Tablet ER,48,251,available
Deczole D 30mg/40mg Capsule SR,422,128,available
Ruvastin F 145mg/10mg Tablet,146,202,available
Safra S 1000mg/500mg Injection,372,77,available
Spozone 1000mg/500mg Injection,459,249,available
Bisohox 5mg Tablet,16,59,available
Pantapil D 10mg/40mg Tablet,326,123,available
Nucyreta 200mg Tablet ER,187,3,limited
Natzoclav-DS Dry Syrup,97,134,available
Sagatear 0.5% Eye Drop,37,91,available
Mecoryl P 750mcg/75mg Capsule,102,114,available
Fexigra 30mg Tablet,279,272,available
Nise 75mg Injection,429,267,available
Gag PR 100 mg/325 mg Tablet,420,264,available
Amomed CV Dry Syrup,335,282,available
Vaxcort 6 Oral Suspension,398,91,available
Oxnig 300mg Tablet SR,247,113,available
Zumzone S 1000mg/500mg Injection,28,59,available
HERLET 2.5MG TABLET,393,101,available
Cefipy 200LB Tablet,384,86,available
Sun P 100mg/500mg Tablet,309,133,available
Vofon-M 0.3 Tablet SR,152,249,available
Flamzen MR 100mg/500mg/250mg Tablet,393,6,limited
Itrohit 100mg Capsule,34,88,available
Coligut 400mg Tablet,60,204,available
Monte L 5mg/10mg Tablet,366,181,available
Ogmios 500 mg/125 mg Tablet,498,98,available
Ceftain 200mg Tablet DT,467,214,available
Dilkor 5mg Tablet,321,263,available
Velon 2mg Syrup,313,122,available
Evapod 200mg Tablet,144,260,available
Sonatrex 25mg Tablet,201,290,available
Frigen 250mg/250mg Injection,71,84,available
Ondavom 4mg Syrup,267,221,available
Cottace P Oral Suspension,369,62,available
Fla 4 400mg Tablet,223,12,limited
Opner Fast Tablet,120,60,available
Mielid-P 100mg/500mg Tablet,283,31,available
Ozus 50mg Tablet,180,97,available
G Rox 50mg Tablet,167,233,available
Clardox XL 1000mg/500mg Injection,37,47,available
Rexin 500mg Capsule,472,218,available
Rexgest 200mg Injection,196,296,available
Fex 750mg Tablet,207,180,available
Diclozed MR 250mg/50mg/325mg Tablet,339,16,limited
Cadicrit 4000mg Injection,27,21,limited
Clamchek BD Suspension,424,186,available
Mefomin GZ  80 Tablet SR,205,258,available
Gradox 50mg Syrup,158,147,available
Hifen 1% Cream,196,106,available
Clinaxon P 800 Tablet,217,176,available
Rohist 8mg Tablet,274,176,available
Metorica-T 50 Tablet ER,304,205,available
Altacip 500mg Tablet,80,249,available
Modcet M 5mg/10mg Tablet,259,279,available
Tilpod 100mg Dry Syrup,381,258,available
Ventryl BM Syrup,38,292,available
Tidomet E 100mg/25mg/200mg Tablet,134,192,available
Venado-LC Tablet,156,296,available
Dapazee 10 Tablet,403,39,available
TAXIM 50 MG DRY SYRUP,45,158,available
Verna 16 MD Tablet,249,229,available
Ozol 40mg Capsule,101,187,available
Mucoza Syrup,446,229,available
Weltime 100 Soft Gelatin Capsule,133,136,available
Antiflam 400 mg/650 mg Tablet,19,220,available
Hpcort 6 Tablet,129,204,available
Torpiza 25mg Tablet,130,36,available
Roliten OD 2mg Capsule ER,459,53,available
Rexcef CV Tablet,282,93,available
Zudol 50mg Injection,284,168,available
Godep Plus 0.25mg/5mg Tablet,383,218,available
Spacan 150mg Tablet,50,83,available
D3 King 60K  Capsule,453,85,available
Nervheal-NT Tablet,452,158,available
Satmax Infusion,380,256,available
Ricobal G 300mg/500mcg Tablet,354,76,available
Squix 0.1% Nasal Drops,366,217,available
Dolosal 100mg Injection,288,141,available
Telmizem 20 Tablet,223,194,available
Zemcy 60K Softgel Capsule,69,21,limited
Neurolace PG 750mcg/75mg Capsule,320,276,available
Coversyl-AM 4/5 Tablet,438,37,available
Gluvoiz PM 2mg/500mg/15mg Tablet SR,199,276,available
Emino Syrup,341,66,available
Xoflon OZ Syrup,245,41,available
Tusq-D Cough Lozenges Sugar Free,403,68,available
Orflam 650mg Tablet,146,232,available
Movogesic Aqua 75mg Injection,489,154,available
Ciporap T 500mg/600mg Tablet,211,204,available
Dicloflam 50mg Tablet,203,25,limited
Udicare 450 Tablet SR,469,265,available
Aciom 500mg Injection,356,273,available
Sertin 50 Tablet,486,130,available
Citisrin 500mg Tablet,164,128,available
Ceficrat CV 200mg/125mg Tablet,443,78,available
Cbdol-SP Tablet,375,119,available
Fusibid B Cream,13,174,available
Krimfre Syrup,483,221,available
Ruglim M 1 Tablet PR,363,257,available
Jasoday 10mg Tablet,350,256,available
Dheapreg  Capsule,339,139,available
Carcet 150mg/5mg Tablet,94,165,available
OA TZ Tablet,71,77,available
Cilory M 10mg/50mg Tablet,252,91,available
Raurox CV 500mg/125mg Tablet,222,71,available
Hifenac Spas Tablet,157,185,available
Torodent-DT Tablet,432,163,available
Aavik-MR Tablet,98,79,available
Aamont-LC Tablet,62,262,available
Pancid DSR 30mg/40mg Tablet,149,91,available
Zuef O 100mg Tablet DT,230,268,available
Celsus CV 200mg/125mg Tablet,117,162,available
Cloval 1% Soap,259,280,available
Movacarb 50mg Tablet,341,0,out_of_stock
Rabestrong D 30mg/20mg Capsule SR,264,23,limited
Rabon IT 20mg/150mg Capsule,412,7,limited
Rescalm-AZ 0.25mg/20mg Tablet,373,276,available
Srotec 50mg Tablet,70,147,available
Molbi MF Oral Suspension,273,57,available
Gldoxi CV Dry Syrup,362,22,limited
Metsmear G 2mg/500mg Tablet,182,77,available
Flualma 200 Tablet,310,130,available
Novadox Dry Syrup,297,4,limited
Arbazeal -ES 80 Tablet,68,263,available
Covate-Soft Gel,400,152,available
Livixim 50mg Syrup,102,172,available
Macpan 40mg Injection,300,273,available
Suncef Syrup,296,189,available
Cesafe SM 500 mg/250 mg Injection,228,137,available
Dcort X 6mg Tablet,78,121,available
Metazer Solution,338,95,available
Sofcef 1000mg Injection,32,118,available
Acwel Soap,122,230,available
GM -SR2 Tablet,208,158,available
Petril 2 Tablet,206,61,available
Damita 5mg Tablet,245,179,available
Acvilda-M 500mg/50mg Tablet,243,264,available
Atnixime 500mg Tablet,346,56,available
Moxkey-CV 625 Tablet,449,276,available
Mebcin 250mg Injection,69,239,available
Provera 5mg Tablet,436,135,available
Toroxx A Gel,184,293,available
Nordeplin-P Tablet,246,130,available
Onstil 4mg Tablet,263,282,available
Bigcef 500 Tablet,320,192,available
Imusun M Syrup,215,226,available
Alpam 0.5mg Tablet,218,142,available
Citelec 500mg Tablet,202,172,available
Nimkis 100mg Tablet DT,369,187,available
Bcofen MR Tablet,367,85,available
Flupitol-M Tablet,134,11,limited
Bactopace S 1000mg/500mg Injection,326,222,available
Tenegood 20mg Tablet,199,190,available
R-Safe D 30mg/20mg Capsule SR,487,64,available
Uraxe 250mg Tablet,362,287,available
Spirox 250mg Tablet,234,209,available
Safeflox OZ 200mg/500mg Tablet,89,70,available
Rabeson-L Capsule SR,384,269,available
Ticrozit 250mg Tablet,435,298,available
Dicros 250mg/50mg/500mg Tablet MR,469,122,available
Defstead 30 Tablet,185,181,available
Xytaz 1000mg/125mg Injection,158,278,available
Etoflu 600mg Tablet ER,144,132,available
Ramphi 500mg Tablet,498,7,limited
Fortius 40 Tablet,375,252,available
Valium 10mg Tablet,177,289,available
Linrise 600 Tablet,184,38,available
Sopi Clear 5mg Syrup,249,81,available
Mefmin Spas Tablet,327,287,available
Lewoz 500mg Tablet,350,213,available
Clownox-P Oral Suspension,389,69,available
Sompraz 20 Tablet,112,276,available
Mixdose 500mg Capsule,256,222,available
Qulax 5mg Oral Suspension,160,31,available
Aloederm F Cream,274,264,available
Glibocer 0.3mg Tablet,406,144,available
Dextake 20mg Tablet,40,29,limited
Roz OM 20mg Tablet,384,131,available
Rapo-D 30mg/20mg Tablet,339,240,available
Torigesic TH4 Tablet,483,111,available
Albicobal G 300mg/500mcg Tablet,199,26,limited
Citgaba-MN Tablet,227,253,available
Isoder 20 Tablet,309,245,available
Pentonex 40mg Tablet,21,255,available
Azod 200mg Tablet,319,70,available
Savazee 200mg Oral Suspension,148,241,available
Biopenta 40mg Injection,490,177,available
Alpafen 100mg/500mg Tablet,330,216,available
Gliklarite 80mg Tablet,473,16,limited
Kancet L 5mg Tablet,491,92,available
Mabvinra 40mg Injection,12,269,available
Acewin OD Capsule,406,184,available
Pantacet 40mg Tablet,260,42,available
Fazol 100mg Tablet,60,200,available
L-Cin 250mg Tablet,61,15,limited
Ambro-DM Syrup,329,196,available
Aripra 15mg Tablet,213,43,available
Zetam 800mg Tablet,71,209,available
Esula Plus 0.25mg/5mg Tablet,311,187,available
Cefredrox 200mg Tablet DT,213,300,available
Xerolimus Ointment,26,193,available
Lovoroxol 5mg/75mg Tablet SR,484,7,limited
Toppen-DSR 30mg/40mg Capsule,481,300,available
Oflodex 200mg Tablet,217,258,available
Manfenac TH 4mg/100mg/325mg Tablet,490,183,available
Elesert 12.5 Tablet,186,87,available
Nimosal P 100mg/325mg Tablet,69,280,available
Regero 2% Solution,39,259,available
Dalwofen S 50mg/10mg Tablet,200,103,available
Joxin Eye Drop,200,88,available
Vacox 20mg Tablet,241,195,available
Cipcoz 500mg Tablet,301,81,available
Dmt 100mg Capsule,137,6,limited
Centaflox Eye Drop,383,181,available
Trexcold-Z Plus Tablet,418,235,available
Furosap CV 500mg/125mg Tablet,497,250,available
Unifex Forte 500mg/250mg Tablet,111,109,available
Carbnol 10mg Tablet,190,188,available
Rabispace-D Capsule SR,470,211,available
Ucotryp Tablet,180,264,available
Meprestar 16mg Tablet,343,154,available
Drrab Tablet,263,194,available
Coldstat Syrup,232,231,available
Epidium Tablet,212,218,available
Coldguard XT Suspension,305,102,available
Azeemust 500mg Tablet,43,91,available
Awnabol 25mg Injection,143,45,available
Dikium SP 50mg/325mg/10mg Tablet,417,103,available
Klear Dry Syrup,68,253,available
Ketor 200mg Tablet,330,277,available
Wellther 75mg Injection,28,268,available
Gudiet 80mg Tablet,22,279,available
Ulcecure 20mg Capsule,72,152,available
Salmodil-LS Syrup,358,38,available
Ceficant 100mg Tablet DT,269,221,available
Elviflox 200mg Tablet,136,189,available
Pazocid Forte Oral Suspension,294,258,available
Closun P 100mg/500mg Tablet,279,250,available
Alo Cef 200mg/200mg Tablet,45,234,available
Normaglim P 15mg/2mg Tablet,161,205,available
Cesic 20mg Tablet,220,126,available
Benther P 75mg Injection,142,206,available
Escirest 10mg Tablet,221,8,limited
Eepod O 200mg/200mg Tablet,36,268,available
Leuprogon Injection,270,266,available
Mucofresh Mouth Wash,92,97,available
Carnimac Plus Tablet,67,79,available
Cevifix-O Tablet,395,241,available
Vitarose 100mg Injection,206,173,available
Aquapred O Eye Drop,74,167,available
Sucratime-O Oral Suspension,440,56,available
Spasypen 10mg Injection,242,127,available
Flucol P Tablet,114,205,available
Pase 10mg Tablet,253,248,available
Cefree CV 200 mg/125 mg Tablet,89,266,available
Accept-XL Tablet,487,295,available
Cefuzime 500 Tablet,342,175,available
Terbuvent B Syrup,461,153,available
Ketokem Anti-Dandruff Soap,169,55,available
Acrocip 500mg Tablet,147,119,available
Ascabiol Emulsion,166,181,available
Emfozen K Eye Drop,350,280,available
Accrosuv 20 Tablet,358,192,available
Twinblok Trio Tablet ER,44,159,available
Lydem 100mg Tablet DT,304,67,available
Combihale FF 100 DPI Capsule,287,258,available
Ibotris 135mg/5mg Tablet,357,54,available
Odicip-OZ 500mg/500mg Tablet,477,32,available
Amlogard TM 40 mg/5 mg Tablet,321,122,available
Forahale 400 Inha Caps,446,128,available
R P Zole 20mg Injection,270,124,available
X-Para 100mg/500mg Tablet,376,200,available
Zeltum SB 1500mg/750mg Injection,365,86,available
Cadnim P 100mg/325mg Tablet,276,6,limited
Telmisafe-H Tablet,263,19,limited
Vmf 500 mg/0.3 mg Tablet SR,163,207,available
Arobic 90mg Tablet,147,296,available
Evah 60mg Tablet,267,239,available
Risp 4mg Tablet,383,113,available
Rixone 250 Injection,50,206,available
G3N 6.4mg Tablet,387,109,available
Elpihep Oral Suspension,68,163,available
Zavon-T Injection,299,295,available
Maximus 100mg/325mg Tablet,156,10,limited
Lypgen 100 Tablet,464,155,available
Dupox 20mg Tablet DT,151,169,available
Ulciban 200mg Tablet,222,248,available
Acucort 500mg Injection,199,143,available
Ivipime 500mg Injection,347,184,available
Corgone 200mg Tablet SR,100,215,available
Auxgo 1000mg/200mg Injection,277,9,limited
Difenac MR 250mg/50mg/500mg Tablet,402,61,available
Thenac 200mg Tablet SR,420,58,available
Sri CZ Plus Tablet,89,211,available
Sulbagreat 1000mg/1000mg Injection,473,165,available
Endocin Eye/Ear Drops,457,165,available
Regipod-CV Tablet,340,133,available
Gracin Eye Drop,366,89,available
Glimzen-M2 Fotre Tablet SR,172,230,available
Kenum 250mg Injection,319,172,available
Rubrosin-D Tablet,40,2,limited
Kofover D Jr Syrup,299,118,available
Omin-D Capsule,245,222,available
Finecold Plus Syrup,370,47,available
Cetapin V 0.2mg Tablet SR,293,161,available
Telmide H 40mg/12.5mg Tablet,485,9,limited
Chew IT 4mg Tablet DT,383,248,available
Mitclox D 250mg/250mg Tablet,134,42,available
Diclotech SP Tablet,202,132,available
Crocimax 1000SR Tablet,181,121,available
STOP-PLUS 250MG/250MG TABLET,273,29,limited
Sifetor 1GM SR Tablet,143,16,limited
Brechen 4mg Tablet MD,323,282,available
Tusnox-A Cough Expectorant,413,103,available
Efecin 500 Injection,96,25,limited
Futol 150 Tablet,300,99,available
Mirbeg-S 50 Tablet ER,421,91,available
Dct 6mg Tablet,368,130,available
Atorts 40mg Tablet,249,71,available
Beta Nifedine 50 mg/20 mg Capsule,326,22,limited
Enamol 100mg/325mg Tablet,473,179,available
Esopower L Capsule,459,30,available
Acoflox OZ 200 mg/500 mg Tablet,128,70,available
Suprabenz Plus 0.5mg/5mg Tablet,482,268,available
Rosidon 10 Tablet,51,102,available
Gpnyl M 2mg/500mg Tablet SR,303,153,available
Telmian 80mg Tablet,436,104,available
Fordia G 1 mg/500 mg Tablet,111,85,available
Rocef 200 Tablet DT,369,297,available
Tariflox Eye/Ear Drops,416,52,available
Moflo 400mg Tablet,264,241,available
Cule 500mg Tablet,435,239,available
Yashdon D 10mg/40mg Tablet,334,110,available
Glipiday-Forte 1 Tablet PR,184,288,available
Bioprox 100mg Tablet,292,285,available
Ondroallit-MD Tablet,495,268,available
Cefadic 500mg Tablet,305,288,available
Namcold FX Oral Suspension,330,149,available
Dapamac 5 Tablet,456,49,available
Freemol TP 100mg/325mg/37.5mg Tablet,266,151,available
P Trax 325mg/37.5mg Tablet,430,127,available
Azicap 250mg Tablet,399,276,available
Letrid Syrup,144,20,limited
Farozane 200mg Tablet,401,258,available
Spantril-MD 0.25 Tablet,470,266,available
Dvx 1000mg Tablet ER,86,261,available
Safecet 10 Tablet,172,2,limited
Gabaltis 100 Tablet,447,175,available
Imiten 500mg/500mg Injection,111,23,limited
Cozith-XL 500mg/75mg Tablet,158,213,available
Keogli 2mg/500mg Tablet SR,316,102,available
Panavin-DSR Capsule,435,140,available
Rabris 20mg Tablet,146,14,limited
Klomin 25mg Tablet,35,165,available
Zimdax 500mg Tablet DT,416,125,available
Eftrimax 250mg Injection,70,106,available
Fexocad M 10mg/120mg Tablet,248,105,available
Jupiros F 160mg/5mg Tablet,271,155,available
Fastdoz-CR Tablet,40,14,limited
Snokey Syrup,342,120,available
Rabiwin DSR Capsule,393,192,available
Diclonac 50mg Tablet,114,80,available
Lembrocy-A Syrup,489,177,available
Mexaflox OZ 200mg/500mg Tablet,300,45,available
Lepez 30mg Capsule,119,115,available
Gofloxa OZ Oral Suspension,363,95,available
Ramey 5mg Capsule,237,296,available
Rifigon 200 Tablet,417,76,available
Eswell 10mg Tablet,390,223,available
Frastim 300mcg Injection,348,225,available
Rhinowash Starter Kit,431,175,available
Novonerve-G Tablet,102,271,available
Torsigard Plus 20 Tablet,121,23,limited
Gabadoz NT 400mg/10mg Tablet,262,107,available
K Cepo 100mg Syrup,197,63,available
Abzine-AM Tablet,125,126,available
Ampoxin 250 Capsule,66,118,available
Rosumas 20mg Tablet,18,155,available
Cinadil 25mg Tablet,19,142,available
Infixime 200mg Tablet,298,246,available
Texaciv-MF Tablet,197,75,available
Corsa 5mg Tablet,379,77,available
Caloxyy-CV Dry Syrup,497,11,limited
Bioclavid 500mg/125mg Tablet,343,143,available
Axiflu 200mg Tablet,410,201,available
Diclom-SP Tablet,258,274,available
Ebermac Cream,185,180,available
Flothin 20mg Injection,315,38,available
Apovert 16mg Tablet,486,288,available
Kastclav CV 250mg/125mg Tablet,292,248,available
Varxon-S Injection,310,4,limited
Siocef TZ 1000mg/125mg Injection,254,21,limited
Hubec-SP Tablet,174,176,available
Lozipam Injection,319,270,available
Ebcold 2mg/500mg/10mg Tablet,33,10,limited
Velvo 750mg Tablet,36,53,available
Moxica 125mg Syrup,344,116,available
Esmo 40mg Injection,406,12,limited
Ofix 400mg Tablet,286,68,available
Doff S Tablet,352,130,available
Monojack S 1000mg/500mg Injection,257,0,out_of_stock
Albax Suspension,75,130,available
Akfer-XT Tablet,267,114,available
Valfoed 4mg Tablet,194,160,available
Szone 500 mg/500 mg Injection,460,207,available
Saplor 10mg Tablet,429,106,available
Drocef 250mg Tablet,104,3,limited
Zerodol-MR Tablet,120,121,available
Cbs 0.05% Cream,309,7,limited
Resolve DP Tablet,63,203,available
Biovorin 15mg Injection,378,242,available
Doropod 100mg Tablet DT,228,129,available
Foxipep 40mg Tablet,146,237,available
Azinez 500mg Tablet,170,247,available
CTD-T 12.5/20 Tablet,321,163,available
Zitus 250 Tablet,85,240,available
AM-Urs 300 Tablet,294,49,available
Esomex-DSR Capsule,102,150,available
Oflotag 50mg Oral Suspension,470,166,available
Fppi Tablet,362,16,limited
Cefine 100mg Tablet,442,34,available
Roxim KID 50mg Tablet,310,256,available
Scaze 1% Soap,24,244,available
Fenics MR 100mg/325mg/250mg Tablet,183,86,available
Zopercin 2000 mg/250 mg Injection,307,229,available
Sconam 500mg Injection,497,278,available
Tena 20mg Tablet,193,108,available
Cypoever Syrup,351,261,available
Winzola 0.5mg Tablet MD,242,228,available
Gemmin P 2mg/500mg/15mg Tablet,65,283,available
Zapiton Syrup,208,193,available
Halidace 0.25mg Tablet,180,157,available
Nivocef 200 DT Tablet,100,148,available
Onimar 400mg Tablet CR,421,215,available
